DATAFLOW,LAST UPDATE,freq,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-01,6352.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-02,5878.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-03,6019.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-04,5492.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-05,5111.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-06,4784.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-07,4821.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-08,4757.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-09,5080.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-10,5530.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-11,5636.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2008-12,5688.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-01,6292.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-02,5560.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-03,5715.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-04,4625.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-05,4599.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-06,4499.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-07,4476.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-08,4507.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-09,4647.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-10,5351.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-11,5480.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2009-12,5831.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-01,6305.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-02,5667.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-03,5833.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-04,5063.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-05,4980.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-06,4715.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-07,4337.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-08,4700.000,
ESTAT:EI_ISEN_M(1.0),18/01/23 11:00:00,M,NSA,IS-CEL-GWH,CZ,2010-09,4893.000,
